,Vehicle,Total_Problems,Category,Mode,Verbatim,Score
645,BMW 2 Series M2 2dr Cpe,2,Engine/Transmission,M,Check engine light indicated a faulty coil pack for the #6 cylinder. The problem was quickly identified and resolved during a short service appointment.,-0.5106
2222,BMW 2 Series M2 2dr Cpe,2,Engine/Transmission,M,rough idle on one trip. no malfunction errors and no check engine light and was fine after restart. dealer was not able to replicate and no errors were stored.,-0.8225
677,BMW 2 Series M2 2dr Cpe,1,Exterior,M,"They take a lot of pressure or hard slamming to close, not like the other BMW's I have owned. Hoping they LOOSEN UP A BIT",-0.2287
2854,BMW 2 Series M2 2dr Cpe,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Both systems have difficulty at time with 2-syllable names where each syllable is a word i.e. parkmoore becomes E Park or Morewood... It's a reproducible issue nearly 100% of the time,-0.34
1426,BMW 2 Series M2 2dr Cpe,7,Audio/Communication/Entertainment/Navigation (ACEN),D,i cannot get the system to work well for me...might be me,0.2732
1570,BMW 2 Series M2 2dr Cpe,1,Features/Controls/Displays (FCD),M,Some of the pixels in the speedometer were not working. This was covered under the warranty. A replacement was quickly ordered for my car.,0.0
2223,BMW 2 Series M2 2dr Cpe,2,Engine/Transmission,M,Car had a malfunction code and went into limp home mode. The cause was a misfire. Dealer cleared the code and it has not happened again. This was at 358 miles.,0.1027
2804,BMW 2 Series M2 2dr Cpe,3,Driving Experience,D,"usually during my first drive of the day, might be because of handbreak",0.0
2805,BMW 2 Series M2 2dr Cpe,3,Driving Experience,D,,0.0
2806,BMW 2 Series M2 2dr Cpe,3,"Heating, Ventilation, and Air Conditioning (HVAC)",M,Rear window defroster worked poorly to melt snow,0.0
2870,BMW 2 Series M2 2dr Cpe,6,Engine/Transmission,D,"Transmission control module had to be replaced, was in the shop for 3 weeks for this.  Now it is at the dealer to have the transmission replaced.  Both had to be special ordered from Germany. : Drivetrain malfunction -- transmission.",0.4019
2869,BMW 2 Series M2 2dr Cpe,6,Interior,M,"The sun roof was very heavily lubricated with grease.  Whenever it was opened, the smell of grease was overwhelming.",0.0
2868,BMW 2 Series M2 2dr Cpe,6,Interior,D,The in door storage pockets could be better designed for better and more useable space.,0.7003
2246,BMW 2 Series M2 2dr Cpe,3,Engine/Transmission,M,"At 1400 miles car parked in garage will not start.  BMW Road side assistance came and 'dragged' the vehicle onto the flatbed tow truck 'in park' because with no start you can't get it in neutral. Towed to the dealer, at dealer for three days, mechanic determined 'defective from factory' actuator for eccentric shaft after tearing apart the brand new engine.  We are concerned about future transmission problems from the tow procedure.",-0.6597
644,BMW 2 Series M2 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),U,The BMW Connected App function to connect to the Spotify App must frequently be re-initiated.,0.0
2867,BMW 2 Series M2 2dr Cpe,6,Interior,D,"The space in the center console is virtually non-existent.  Also the padded arm rest top of the unit should have some means of locking or clicking in place.  When you enter the vehicle and slide into the seat, supporting yourself on the arm rest, it moves annoyingly.",0.5719
2595,BMW 2 Series M2 2dr Cpe,2,Exterior,M,"Scratch windwo pillar molding, part received from dealer not installed yet.",0.0
1425,BMW 2 Series M2 2dr Cpe,7,Features/Controls/Displays (FCD),D,,0.0
1424,BMW 2 Series M2 2dr Cpe,7,Exterior,M,Hard to actually get fully closed,-0.1027
1427,BMW 2 Series M2 2dr Cpe,7,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1428,BMW 2 Series M2 2dr Cpe,7,Audio/Communication/Entertainment/Navigation (ACEN),D,was not explained well enough,-0.2057
274,BMW 2 Series M2 2dr Cpe,2,Engine/Transmission,M,Dealer said new battery can get depleted when cold weather persists.,0.0
1429,BMW 2 Series M2 2dr Cpe,7,Seats,M,: seat does not remember to move up when you lift handle,0.0
367,BMW 2 Series M2 2dr Cpe,1,Driving Experience,M,Uturn situation. Intermittent. From rear wheel area.,0.0
2871,BMW 2 Series M2 2dr Cpe,6,Engine/Transmission,D,See previous page. : Drivetrain malfunction -- transmission.,0.0
1430,BMW 2 Series M2 2dr Cpe,7,Interior,M,grease to lubricate the window mechanism,0.0
2377,BMW 2 Series M2 2dr Cpe,5,Engine/Transmission,M,The clutch pedal does not engage at a consistent height depending on rpm and primarily on deceleration.,-0.2584
2376,BMW 2 Series M2 2dr Cpe,5,Interior,D,The center console feels that it is too far back to be practial for me to open.,0.0
2375,BMW 2 Series M2 2dr Cpe,5,Audio/Communication/Entertainment/Navigation (ACEN),D,I feel that the iDrive controller is too tall so when you manuall shift gears you rub on the iDrive knob. When you rest your arm on the arm rest you are also resting on the iDrive knob.,0.0
2596,BMW 2 Series M2 2dr Cpe,2,Interior,U,Broken plastic seat track cover,-0.4767
273,BMW 2 Series M2 2dr Cpe,2,Driving Experience,D,Noisy at low speeds,-0.4215
2248,BMW 2 Series M2 2dr Cpe,3,Engine/Transmission,M,,0.0
2247,BMW 2 Series M2 2dr Cpe,3,Engine/Transmission,M,It was the same incident that we just described,0.0
2872,BMW 2 Series M2 2dr Cpe,6,Engine/Transmission,M,"Grumbling/groaning noise especially noticeable when transmission shifted from 2nd to third gear, but also apparent at other shift points.",0.0
440,BMW 2 Series M2 2dr Cpe,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"No keywords, as it tries to do natural language detection can make it very difficult to figure out the right combination of things to say to get it to do something.  Does a poor job recognizing foreign names  and doesn't have the ability to just spell the name in as backup without using the iDrive controls instead of voice.",-0.7618
2374,BMW 2 Series M2 2dr Cpe,5,Driving Experience,M,Sounds like a squeek and thud. Sometimes on a turn when I decelerate.,0.3612
1177,BMW 2 Series M2 2dr Cpe,6,Interior,M,,0.0
97,BMW 2 Series M2 2dr Cpe,2,Exterior,M,"Frameless doors lead to very high wind noise at highway speeds - conversely, cabin is well insulated at 'normal' driving speeds under 75mph",0.2732
2648,BMW 2 Series M2 2dr Cpe,3,Exterior,M,The car gets chipped easily from normal driving,0.34
1172,BMW 2 Series M2 2dr Cpe,6,Exterior,D,I think the road noise is a byproduct of BMW removing much of the insulation on this car in order to save weight,0.4939
1330,BMW 2 Series M2 2dr Cpe,1,Exterior,M,: The headlights were not aligned properly  and upon bringing back to dealership still aligned improperly.  On next visit hopefully they will repair.,0.4019
1326,BMW 2 Series M2 2dr Cpe,6,Interior,M,"Minor rattle, but annoying when it happens. Haven't been able to identify exact spot, but kept the console empty.",-0.6956
1325,BMW 2 Series M2 2dr Cpe,6,Interior,M,"The handle for the glove compartment is made up of several plastic pieces that creak and rattle. Ended up putting a large rubber-band around the thing to make it stop. The glove box itself makes some noise after being opened and closed, while driving. Eventually seems to settle and keep quiet.",-0.296
1324,BMW 2 Series M2 2dr Cpe,6,Interior,M,Seems to be coming from the window assembly.,0.0
1323,BMW 2 Series M2 2dr Cpe,6,Seats,M,Seems like a lubrication issue. Changing seat position makes the problem go away. Comes back on occasion.,-0.0516
1322,BMW 2 Series M2 2dr Cpe,6,Exterior,M,"Dealer did poor job at cleaning the car, causing swirls in the paint. Ended up going to a professional car detailer to have it properly cleared up.",-0.4019
1321,BMW 2 Series M2 2dr Cpe,6,Exterior,M,"Dealer attempted to fix/hide the ding. It was pointed out to me by a detailer at a later point, including evidence of attempted fix.",0.0
2649,BMW 2 Series M2 2dr Cpe,3,Driving Experience,D,"It probably normal, but wanted to mention it.",0.0
1173,BMW 2 Series M2 2dr Cpe,6,Driving Experience,D,,0.0
1174,BMW 2 Series M2 2dr Cpe,6,Driving Experience,D,I understand that this is just to be expected with the higher quality brakes on the M2,0.0
1175,BMW 2 Series M2 2dr Cpe,6,Interior,M,,0.0
1176,BMW 2 Series M2 2dr Cpe,6,Interior,M,,0.0
1193,BMW 2 Series M2 2dr Cpe,6,Engine/Transmission,M,"When the engine is turned on cold in the morning, it idles just a slightly bit rough. Not sure if this is an intentional design. it goes away after it's warmed.",0.5267
1178,BMW 2 Series M2 2dr Cpe,1,Exterior,M,,0.0
58,BMW 2 Series M2 2dr Cpe,4,Interior,D,,0.0
57,BMW 2 Series M2 2dr Cpe,4,Interior,D,,0.0
56,BMW 2 Series M2 2dr Cpe,4,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
1188,BMW 2 Series M2 2dr Cpe,6,Exterior,D,I beleive the vehicle is design to have the load throaty engine sound.,0.0
55,BMW 2 Series M2 2dr Cpe,4,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
41,BMW 2 Series M2 2dr Cpe,1,Audio/Communication/Entertainment/Navigation (ACEN),U,Apple CarPlay unable/way too slow to process requests. Dealer said its typical and blamed it on Apple and disabled CarPlay. But it cost me $400 as an option that I can't use!,-0.5255
2650,BMW 2 Series M2 2dr Cpe,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,When it Auto mode it doesn't get very cool.,-0.2912
98,BMW 2 Series M2 2dr Cpe,2,Driving Experience,D,M Performance breaks  display significant brake dust,0.2023
1133,BMW 2 Series M2 2dr Cpe,1,Engine/Transmission,M,Clutch pedal just made a clicking sound : Clutch pedal made a clicking sound.,0.0
2373,BMW 2 Series M2 2dr Cpe,5,Driving Experience,D,There is a lot of brake dust for less than 300 miles,0.0
187,BMW 2 Series M2 2dr Cpe,2,Engine/Transmission,D,"Occasionally it is difficult to engage 1st gear, particularly at a stop light. Seems to be worse with a cold car. No grinding noises.",-0.766
2947,BMW 2 Series M2 2dr Cpe,1,Exterior,M,Scratch on trunk,0.0
1113,BMW 2 Series M2 2dr Cpe,1,Engine/Transmission,D,"My understanding is that this is standard for the DCT in the M cars, simply just how it is.",0.0
1078,BMW 2 Series M2 2dr Cpe,1,Seats,D,: Seat belt buckle uckle latch is hard to reach near the door upon sitting in the driver's seat.  Too low.,-0.34
1189,BMW 2 Series M2 2dr Cpe,6,Features/Controls/Displays (FCD),D,The touch sensing door lock takes too long to activate.  Should be about 1/2 a second once touch.,0.0
2143,BMW 2 Series M2 2dr Cpe,3,Features/Controls/Displays (FCD),D,": The remote trunk latch release on the key is overly sensitive.  This causes a frequent and repeated situation of having the trunk spontaneously  open during the course of entering and starting the vehicle. Note that as the driver is opening, entering and starting the vehicle, the key is in the right front pants pocket.  Which means the trunk opening command is being triggered simply by the normal pressure between the driver's upper thigh and the pants pocket.  And no, the pants being worn aren't  snug/tight... stop laughing :)Simply lower the surface of the trunk relase button slightly below the top surface of the key -- problem solved.",-0.8226
2666,BMW 2 Series M2 2dr Cpe,1,Exterior,M,"Not quite the exterior. It's the door sill plate with the ///M logo. There's a scratch about 2 inches long across the ///M logo. The plate looks to be aluminum. Sent picture to dealer and they agreed to handle it when I bring in the car for the break-in oil change, which hasn't happened yet.Also, a quarter inch of the rubber seal along the passenger window was caught underneath the plastic trim that it overlays. I just had to dislodge it so it'd sit over the plastic trim. But, now this a noticeable pinch in that rubber seal. Maybe it'll expand back to normal after some time. Disappointing, but not a big deal.",0.0258
186,BMW 2 Series M2 2dr Cpe,2,"Heating, Ventilation, and Air Conditioning (HVAC)",D,It is unclear to me how to synchronize the dual temperature control.,-0.25
1190,BMW 2 Series M2 2dr Cpe,6,Features/Controls/Displays (FCD),D,The whole center console computer system is too complicated.  I can't figure out how to just display the clock in the center of the screen.  It only comes up as a split screen with navigation map.  The complicated computer system is annoying and I'm a fairly tech savvy person.,-0.4019
1192,BMW 2 Series M2 2dr Cpe,6,Interior,M,it smells worst after leaving the car out in the sun.  Could be the upholstery.,-0.6249
2144,BMW 2 Series M2 2dr Cpe,3,Features/Controls/Displays (FCD),D,"Odometer: location is very low on instrument panel, causing the odometer display to be obscured by the top of the steering wheel column. Driver must stretch neck upward in order to see past the steering column to the odometer display.Engine temperature gauge: an engine temperature display is provided, however, it resides within a multi-purpose display area of the instrument console . For a performance vehicle such as the BMW M2, engine temperature should reside on a dedicated, permanent gauge on the instriment console to allow the driver to immediately understand whether the engine is at the proper operating temperature. It's difficult to understand why the designers provided Flickr, a news feed,, Yelp, and Apple CarPlay , but have negleted to provide a dedicated engine temperature display.",0.6601
